license_id	license_name	country_group	band	start_hz	end_hz	notes	source	verified_date
eu_region1_ref	Europe / ITU Region 1 (reference allocation only)	Europe	160m	1810000	1850000	OUTER BOUND ONLY - no single European licence class table exists (CEPT reciprocity is defined per visited country, not one fixed band plan); actual permitted segments, power, and class privileges vary by country - verify locally	47 CFR 97.301 ITU Region 1 column (FCC's reproduction of the ITU international allocation table)	2026-08-01
eu_region1_ref	Europe / ITU Region 1 (reference allocation only)	Europe	80m	3500000	3800000	OUTER BOUND ONLY - Region 1 has no amateur allocation above 3.800 MHz at all; verify locally	47 CFR 97.301 ITU Region 1 column	2026-08-01
eu_region1_ref	Europe / ITU Region 1 (reference allocation only)	Europe	40m	7000000	7200000	OUTER BOUND ONLY; verify locally	47 CFR 97.301 ITU Region 1 column	2026-08-01
eu_region1_ref	Europe / ITU Region 1 (reference allocation only)	Europe	30m	10100000	10150000	OUTER BOUND ONLY; verify locally	47 CFR 97.301 ITU Region 1 column	2026-08-01
eu_region1_ref	Europe / ITU Region 1 (reference allocation only)	Europe	20m	14000000	14350000	OUTER BOUND ONLY; verify locally	47 CFR 97.301 ITU Region 1 column	2026-08-01
eu_region1_ref	Europe / ITU Region 1 (reference allocation only)	Europe	17m	18068000	18168000	OUTER BOUND ONLY; verify locally	47 CFR 97.301 ITU Region 1 column	2026-08-01
eu_region1_ref	Europe / ITU Region 1 (reference allocation only)	Europe	15m	21000000	21450000	OUTER BOUND ONLY; verify locally	47 CFR 97.301 ITU Region 1 column	2026-08-01
eu_region1_ref	Europe / ITU Region 1 (reference allocation only)	Europe	12m	24890000	24990000	OUTER BOUND ONLY; verify locally	47 CFR 97.301 ITU Region 1 column	2026-08-01
eu_region1_ref	Europe / ITU Region 1 (reference allocation only)	Europe	10m	28000000	29700000	OUTER BOUND ONLY; verify locally	47 CFR 97.301 ITU Region 1 column	2026-08-01
jp_region3_ref	Japan / ITU Region 3 (reference allocation only)	Japan	160m	1800000	2000000	OUTER BOUND ONLY - JARL's exact per-class (1st-4th) sub-bands and power limits not verified; verify with JARL	47 CFR 97.301 ITU Region 3 column	2026-08-01
jp_region3_ref	Japan / ITU Region 3 (reference allocation only)	Japan	80m	3500000	3900000	OUTER BOUND ONLY; verify with JARL	47 CFR 97.301 ITU Region 3 column	2026-08-01
jp_region3_ref	Japan / ITU Region 3 (reference allocation only)	Japan	40m	7000000	7200000	OUTER BOUND ONLY; verify with JARL	47 CFR 97.301 ITU Region 3 column	2026-08-01
jp_region3_ref	Japan / ITU Region 3 (reference allocation only)	Japan	30m	10100000	10150000	OUTER BOUND ONLY; verify with JARL	47 CFR 97.301 ITU Region 3 column	2026-08-01
jp_region3_ref	Japan / ITU Region 3 (reference allocation only)	Japan	20m	14000000	14350000	OUTER BOUND ONLY; verify with JARL	47 CFR 97.301 ITU Region 3 column	2026-08-01
jp_region3_ref	Japan / ITU Region 3 (reference allocation only)	Japan	17m	18068000	18168000	OUTER BOUND ONLY; verify with JARL	47 CFR 97.301 ITU Region 3 column	2026-08-01
jp_region3_ref	Japan / ITU Region 3 (reference allocation only)	Japan	15m	21000000	21450000	OUTER BOUND ONLY; verify with JARL	47 CFR 97.301 ITU Region 3 column	2026-08-01
jp_region3_ref	Japan / ITU Region 3 (reference allocation only)	Japan	12m	24890000	24990000	OUTER BOUND ONLY; verify with JARL	47 CFR 97.301 ITU Region 3 column	2026-08-01
jp_region3_ref	Japan / ITU Region 3 (reference allocation only)	Japan	10m	28000000	29700000	OUTER BOUND ONLY; verify with JARL	47 CFR 97.301 ITU Region 3 column	2026-08-01
jp_region3_ref	Japan / ITU Region 3 (reference allocation only)	Japan	6m	50000000	54000000	OUTER BOUND ONLY; verify with JARL	47 CFR 97.301 ITU Region 3 column	2026-08-01
sa_region2_ref	Central & South America / ITU Region 2 (reference allocation only)	Central/South America	160m	1800000	2000000	OUTER BOUND ONLY - exact national license-class privileges vary by country (Brazil, Mexico, Argentina, etc.); verify with your national regulator	47 CFR 97.301 ITU Region 2 column	2026-08-01
sa_region2_ref	Central & South America / ITU Region 2 (reference allocation only)	Central/South America	80m	3500000	4000000	OUTER BOUND ONLY; verify locally	47 CFR 97.301 ITU Region 2 column	2026-08-01
sa_region2_ref	Central & South America / ITU Region 2 (reference allocation only)	Central/South America	40m	7000000	7300000	OUTER BOUND ONLY; verify locally	47 CFR 97.301 ITU Region 2 column	2026-08-01
sa_region2_ref	Central & South America / ITU Region 2 (reference allocation only)	Central/South America	30m	10100000	10150000	OUTER BOUND ONLY; verify locally	47 CFR 97.301 ITU Region 2 column	2026-08-01
sa_region2_ref	Central & South America / ITU Region 2 (reference allocation only)	Central/South America	20m	14000000	14350000	OUTER BOUND ONLY; verify locally	47 CFR 97.301 ITU Region 2 column	2026-08-01
sa_region2_ref	Central & South America / ITU Region 2 (reference allocation only)	Central/South America	17m	18068000	18168000	OUTER BOUND ONLY; verify locally	47 CFR 97.301 ITU Region 2 column	2026-08-01
sa_region2_ref	Central & South America / ITU Region 2 (reference allocation only)	Central/South America	15m	21000000	21450000	OUTER BOUND ONLY; verify locally	47 CFR 97.301 ITU Region 2 column	2026-08-01
sa_region2_ref	Central & South America / ITU Region 2 (reference allocation only)	Central/South America	12m	24890000	24990000	OUTER BOUND ONLY; verify locally	47 CFR 97.301 ITU Region 2 column	2026-08-01
sa_region2_ref	Central & South America / ITU Region 2 (reference allocation only)	Central/South America	10m	28000000	29700000	OUTER BOUND ONLY; verify locally	47 CFR 97.301 ITU Region 2 column	2026-08-01
sa_region2_ref	Central & South America / ITU Region 2 (reference allocation only)	Central/South America	6m	50000000	54000000	OUTER BOUND ONLY; verify locally	47 CFR 97.301 ITU Region 2 column	2026-08-01
